"","Part","Tarefa","num","Frase","Tamanho","Número","escala","Gênero","Idade","Nativo","Escolar"
"197",2687,"experiment","21","Na jardineira da janela floresceu umas rosas vermelhas.","curta","plur","2","Masculino",38,"Sim","Pós-graduação"
"198",2699,"experiment","15","No canteiro do jardim desabrochou repentinamente umas azaleias belíssimas.","longa","plur","4","Masculino",38,"Sim","Pós-graduação"
"199",2711,"experiment","17","No estádio olímpico ocorreu umas competições fantásticas.","curta","plur","3","Masculino",38,"Sim","Pós-graduação"
"200",2723,"experiment","11","No solo adubado germinou ontem à tarde umas sementes desconhecidas.","longa","plur","4","Masculino",38,"Sim","Pós-graduação"
"201",2735,"experiment","18","Na cozinha do restaurante sumiu um equipamento caro.","curta","sing","4","Masculino",38,"Sim","Pós-graduação"
"202",2747,"experiment","26","Na bomba d’água surgiu um barulho esquisito.","curta","sing","5","Masculino",38,"Sim","Pós-graduação"
"203",2759,"experiment","23","No vaso da varanda brotou com muito vigor umas plantas desconhecidas.","longa","plur","1","Masculino",38,"Sim","Pós-graduação"
"204",2771,"experiment","16","Na pele da criança apareceu estranhamente uma mancha escura.","longa","sing","4","Masculino",38,"Sim","Pós-graduação"
"205",2783,"experiment","20","Na secretaria da escola chegou ontem à noite uma encomenda inesperada.","longa","sing","4","Masculino",38,"Sim","Pós-graduação"
"206",2795,"experiment","12","Na praça central murchou rapidamente uma flor delicada.","longa","sing","3","Masculino",38,"Sim","Pós-graduação"
"207",2807,"experiment","25","No hospital universitário existe uns equipamentos moderníssimos.","curta","plur","5","Masculino",38,"Sim","Pós-graduação"
"208",2819,"experiment","14","Na escola municipal aconteceu uma reunião pedagógica.","curta","sing","5","Masculino",38,"Sim","Pós-graduação"
"209",2856,"experiment","23","No vaso da varanda brotou uma planta desconhecida.","curta","sing","3","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"210",2868,"experiment","11","No solo adubado germinou uma semente desconhecida.","curta","sing","4","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"211",2880,"experiment","14","Na escola municipal aconteceu ontem de manhã umas reuniões pedagógicas.","longa","plur","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"212",2892,"experiment","22","No escritório da firma desapareceu sem explicação uns documentos sigilosos.","longa","plur","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"213",2904,"experiment","17","No estádio olímpico ocorreu ontem à tarde uma competição fantástica.","longa","sing","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"214",2916,"experiment","25","No hospital universitário existe no ambulatório um equipamento moderníssimo.","longa","sing","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"215",2928,"experiment","12","Na praça central murchou umas flores delicadas.","curta","plur","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"216",2940,"experiment","26","Na bomba d'água surgiu abruptamente uns barulhos esquisitos.","longa","plur","4","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"217",2952,"experiment","15","No canteiro do jardim desabrochou uma azaleia belíssima.","curta","sing",NA,"Masculino",31,"Sim","Ensino Superior completo ou cursando"
"218",2964,"experiment","24","No estábulo do sítio adoeceu umas vacas leiteiras.","curta","plur","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"219",2976,"experiment","20","Na secretaria da escola chegou umas encomendas inesperadas.","curta","plur","4","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"220",2988,"experiment","21","Na jardineira da janela floresceu durante a tarde uma rosa vermelha.","longa","sing","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"221",3000,"experiment","18","Na cozinha do restaurante sumiu ontem à noite uns equipamentos caros.","longa","plur","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"222",3012,"experiment","19","Do estacionamento do prédio saiu um carro importado.","curta","sing",NA,"Masculino",31,"Sim","Ensino Superior completo ou cursando"
"223",3024,"experiment","16","Na pele da criança apareceu umas manchas escuras.","curta","plur","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"224",3036,"experiment","13","No quintal da casa caiu abruptamente um balão gigante.","longa","sing","5","Masculino",31,"Sim","Ensino Superior completo ou cursando"
"225",3073,"experiment","14","Na escola municipal aconteceu ontem de manhã uma reunião pedagógica.","longa","sing","3","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"226",3085,"experiment","22","No escritório da firma desapareceu sem explicação um documento sigiloso.","longa","sing","5","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"227",3097,"experiment","24","No estábulo do sítio adoeceu uma vaca leiteira.","curta","sing","4","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"228",3109,"experiment","26","Na bomba d'água surgiu abruptamente um barulho esquisito.","longa","sing","4","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"229",3121,"experiment","21","Na jardineira da janela floresceu durante a tarde umas rosas vermelhas.","longa","plur","4","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"230",3133,"experiment","12","Na praça central murchou uma flor delicada.","curta","sing","4","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"231",3145,"experiment","16","Na pele da criança apareceu uma mancha escura.","curta","sing","3","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"232",3157,"experiment","23","No vaso da varanda brotou umas plantas desconhecidas.","curta","plur","2","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"233",3169,"experiment","19","Do estacionamento do prédio saiu uns carros importados.","curta","plur","2","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"234",3181,"experiment","15","No canteiro do jardim desabrochou umas azaleias belíssimas.","curta","plur","2","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"235",3193,"experiment","13","No quintal da casa caiu abruptamente uns balões gigantes.","longa","plur","3","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"236",3205,"experiment","17","No estádio olímpico ocorreu ontem à tarde umas competições fantásticas.","longa","plur","4","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"237",3217,"experiment","11","No solo adubado germinou umas sementes desconhecidas.","curta","plur","2","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"238",3229,"experiment","18","Na cozinha do restaurante sumiu ontem à noite um equipamento caro.","longa","sing","1","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"239",3241,"experiment","20","Na secretaria da escola chegou uma encomenda inesperada.","curta","sing",NA,"Masculino",29,"Sim","Ensino Superior completo ou cursando"
"240",3253,"experiment","25","No hospital universitário existe no ambulatório uns equipamento moderníssimos.","longa","plur","1","Masculino",29,"Sim","Ensino Superior completo ou cursando"
"241",3286,"experiment","15","No canteiro do jardim desabrochou repentinamente uma azaleia belíssima.","longa","sing","5","Masculino",58,"Sim","Pós-graduação"
"242",3298,"experiment","13","No quintal da casa caiu um balão gigante.","curta","sing","5","Masculino",58,"Sim","Pós-graduação"
"243",3310,"experiment","25","No hospital universitário existe um equipamento moderníssimo.","curta","sing","5","Masculino",58,"Sim","Pós-graduação"
"244",3322,"experiment","12","Na praça central murchou rapidamente umas flores delicadas.","longa","plur","1","Masculino",58,"Sim","Pós-graduação"
"245",3334,"experiment","26","Na bomba d’água surgiu uns barulhos esquisitos.","curta","plur","1","Masculino",58,"Sim","Pós-graduação"
"246",3346,"experiment","20","Na secretaria da escola chegou ontem à noite umas encomendas inesperadas.","longa","plur","1","Masculino",58,"Sim","Pós-graduação"
"247",3358,"experiment","19","Do estacionamento do prédio saiu subitamente um carro importado.","longa","sing","5","Masculino",58,"Sim","Pós-graduação"
"248",3370,"experiment","23","No vaso da varanda brotou com muito vigor uma planta desconhecida.","longa","sing","5","Masculino",58,"Sim","Pós-graduação"
"249",3382,"experiment","14","Na escola municipal aconteceu umas reuniões pedagógicas.","curta","plur","1","Masculino",58,"Sim","Pós-graduação"
"250",3394,"experiment","22","No escritório da firma desapareceu uns documentos sigilosos.","curta","plur","1","Masculino",58,"Sim","Pós-graduação"
"251",3406,"experiment","24","No estábulo do sítio adoeceu devido ao frio umas vacas leiteiras.","longa","plur","1","Masculino",58,"Sim","Pós-graduação"
"252",3418,"experiment","17","No estádio olímpico ocorreu uma competição fantástica.","curta","sing","5","Masculino",58,"Sim","Pós-graduação"
"253",3430,"experiment","16","Na pele da criança apareceu estranhamente umas manchas escuras.","longa","plur","1","Masculino",58,"Sim","Pós-graduação"
"254",3442,"experiment","18","Na cozinha do restaurante sumiu uns equipamentos caros.","curta","plur","1","Masculino",58,"Sim","Pós-graduação"
"255",3454,"experiment","21","Na jardineira da janela floresceu uma rosa vermelha.","curta","sing","5","Masculino",58,"Sim","Pós-graduação"
"256",3466,"experiment","11","No solo adubado germinou ontem à tarde uma semente desconhecida.","longa","sing","5","Masculino",58,"Sim","Pós-graduação"
"257",3507,"experiment","24","No estábulo do sítio adoeceu devido ao frio uma vaca leiteira.","longa","sing","2","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"258",3519,"experiment","19","Do estacionamento do prédio saiu subitamente uns carros importados.","longa","plur",NA,"Masculino",39,"Sim","Ensino Superior completo ou cursando"
"259",3531,"experiment","14","Na escola municipal aconteceu uma reunião pedagógica.","curta","sing","4","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"260",3543,"experiment","13","No quintal da casa caiu uns balões gigantes.","curta","plur","2","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"261",3555,"experiment","20","Na secretaria da escola chegou ontem à noite uma encomenda inesperada.","longa","sing",NA,"Masculino",39,"Sim","Ensino Superior completo ou cursando"
"262",3567,"experiment","18","Na cozinha do restaurante sumiu um equipamento caro.","curta","sing","5","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"263",3579,"experiment","22","No escritório da firma desapareceu um documento sigiloso.","curta","sing","5","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"264",3591,"experiment","17","No estádio olímpico ocorreu umas competições fantásticas.","curta","plur","3","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"265",3603,"experiment","15","No canteiro do jardim desabrochou repentinamente umas azaleias belíssimas.","longa","plur",NA,"Masculino",39,"Sim","Ensino Superior completo ou cursando"
"266",3615,"experiment","12","Na praça central murchou rapidamente uma flor delicada.","longa","sing","4","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"267",3627,"experiment","16","Na pele da criança apareceu estranhamente uma mancha escura.","longa","sing","5","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"268",3639,"experiment","23","No vaso da varanda brotou com muito vigor umas plantas desconhecidas.","longa","plur","4","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"269",3651,"experiment","11","No solo adubado germinou ontem à tarde umas sementes desconhecidas.","longa","plur","4","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"270",3663,"experiment","25","No hospital universitário existe uns equipamentos moderníssimos.","curta","plur","3","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"271",3675,"experiment","26","Na bomba d’água surgiu um barulho esquisito.","curta","sing","4","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"272",3687,"experiment","21","Na jardineira da janela floresceu umas rosas vermelhas.","curta","plur","3","Masculino",39,"Sim","Ensino Superior completo ou cursando"
"273",3720,"experiment","12","Na praça central murchou umas flores delicadas.","curta","plur","2","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"274",3732,"experiment","24","No estábulo do sítio adoeceu umas vacas leiteiras.","curta","plur","3","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"275",3744,"experiment","17","No estádio olímpico ocorreu ontem à tarde uma competição fantástica.","longa","sing","1","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"276",3756,"experiment","16","Na pele da criança apareceu umas manchas escuras.","curta","plur","3","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"277",3768,"experiment","21","Na jardineira da janela floresceu durante a tarde uma rosa vermelha.","longa","sing","2","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"278",3780,"experiment","15","No canteiro do jardim desabrochou uma azaleia belíssima.","curta","sing","5","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"279",3792,"experiment","13","No quintal da casa caiu abruptamente um balão gigante.","longa","sing","3","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"280",3804,"experiment","14","Na escola municipal aconteceu ontem de manhã umas reuniões pedagógicas.","longa","plur","1","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"281",3816,"experiment","26","Na bomba d'água surgiu abruptamente uns barulhos esquisitos.","longa","plur","2","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"282",3828,"experiment","20","Na secretaria da escola chegou umas encomendas inesperadas.","curta","plur","2","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"283",3840,"experiment","22","No escritório da firma desapareceu sem explicação uns documentos sigilosos.","longa","plur","2","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"284",3852,"experiment","18","Na cozinha do restaurante sumiu ontem à noite uns equipamentos caros.","longa","plur","2","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"285",3864,"experiment","25","No hospital universitário existe no ambulatório um equipamento moderníssimo.","longa","sing","2","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"286",3876,"experiment","11","No solo adubado germinou uma semente desconhecida.","curta","sing","4","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"287",3888,"experiment","19","Do estacionamento do prédio saiu um carro importado.","curta","sing","5","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"288",3900,"experiment","23","No vaso da varanda brotou uma planta desconhecida.","curta","sing","5","Feminino",21,"Sim","Ensino Superior completo ou cursando"
"289",3937,"experiment","23","No vaso da varanda brotou umas plantas desconhecidas.","curta","plur",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"290",3949,"experiment","25","No hospital universitário existe no ambulatório uns equipamento moderníssimos.","longa","plur","5","Masculino",42,"Sim","Ensino Superior completo ou cursando"
"291",3961,"experiment","11","No solo adubado germinou umas sementes desconhecidas.","curta","plur",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"292",3973,"experiment","15","No canteiro do jardim desabrochou umas azaleias belíssimas.","curta","plur",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"293",3985,"experiment","20","Na secretaria da escola chegou uma encomenda inesperada.","curta","sing","4","Masculino",42,"Sim","Ensino Superior completo ou cursando"
"294",3997,"experiment","12","Na praça central murchou uma flor delicada.","curta","sing","1","Masculino",42,"Sim","Ensino Superior completo ou cursando"
"295",4009,"experiment","19","Do estacionamento do prédio saiu uns carros importados.","curta","plur",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"296",4021,"experiment","22","No escritório da firma desapareceu sem explicação um documento sigiloso.","longa","sing",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"297",4033,"experiment","26","Na bomba d'água surgiu abruptamente um barulho esquisito.","longa","sing",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"298",4045,"experiment","17","No estádio olímpico ocorreu ontem à tarde umas competições fantásticas.","longa","plur","5","Masculino",42,"Sim","Ensino Superior completo ou cursando"
"299",4057,"experiment","21","Na jardineira da janela floresceu durante a tarde umas rosas vermelhas.","longa","plur",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"300",4069,"experiment","24","No estábulo do sítio adoeceu uma vaca leiteira.","curta","sing",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"301",4081,"experiment","14","Na escola municipal aconteceu ontem de manhã uma reunião pedagógica.","longa","sing",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"302",4093,"experiment","13","No quintal da casa caiu abruptamente uns balões gigantes.","longa","plur",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"303",4105,"experiment","18","Na cozinha do restaurante sumiu ontem à noite um equipamento caro.","longa","sing",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"304",4117,"experiment","16","Na pele da criança apareceu uma mancha escura.","curta","sing",NA,"Masculino",42,"Sim","Ensino Superior completo ou cursando"
"305",4158,"experiment","25","No hospital universitário existe um equipamento moderníssimo.","curta","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"306",4170,"experiment","14","Na escola municipal aconteceu umas reuniões pedagógicas.","curta","plur",NA,"Masculino",35,"Sim","Ensino Superior completo ou cursando"
"307",4182,"experiment","24","No estábulo do sítio adoeceu devido ao frio umas vacas leiteiras.","longa","plur","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"308",4194,"experiment","15","No canteiro do jardim desabrochou repentinamente uma azaleia belíssima.","longa","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"309",4206,"experiment","21","Na jardineira da janela floresceu uma rosa vermelha.","curta","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"310",4218,"experiment","13","No quintal da casa caiu um balão gigante.","curta","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"311",4230,"experiment","16","Na pele da criança apareceu estranhamente umas manchas escuras.","longa","plur","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"312",4242,"experiment","26","Na bomba d’água surgiu uns barulhos esquisitos.","curta","plur","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"313",4254,"experiment","19","Do estacionamento do prédio saiu subitamente um carro importado.","longa","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"314",4266,"experiment","23","No vaso da varanda brotou com muito vigor uma planta desconhecida.","longa","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"315",4278,"experiment","12","Na praça central murchou rapidamente umas flores delicadas.","longa","plur","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"316",4290,"experiment","18","Na cozinha do restaurante sumiu uns equipamentos caros.","curta","plur","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"317",4302,"experiment","17","No estádio olímpico ocorreu uma competição fantástica.","curta","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"318",4314,"experiment","20","Na secretaria da escola chegou ontem à noite umas encomendas inesperadas.","longa","plur","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"319",4326,"experiment","22","No escritório da firma desapareceu uns documentos sigilosos.","curta","plur","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"320",4338,"experiment","11","No solo adubado germinou ontem à tarde uma semente desconhecida.","longa","sing","5","Masculino",35,"Sim","Ensino Superior completo ou cursando"
"321",4375,"experiment","15","No canteiro do jardim desabrochou repentinamente umas azaleias belíssimas.","longa","plur","2","Masculino",29,"Sim","Pós-graduação"
"322",4387,"experiment","26","Na bomba d’água surgiu um barulho esquisito.","curta","sing","3","Masculino",29,"Sim","Pós-graduação"
"323",4399,"experiment","11","No solo adubado germinou ontem à tarde umas sementes desconhecidas.","longa","plur","4","Masculino",29,"Sim","Pós-graduação"
"324",4411,"experiment","23","No vaso da varanda brotou com muito vigor umas plantas desconhecidas.","longa","plur","2","Masculino",29,"Sim","Pós-graduação"
"325",4423,"experiment","17","No estádio olímpico ocorreu umas competições fantásticas.","curta","plur","5","Masculino",29,"Sim","Pós-graduação"
"326",4435,"experiment","24","No estábulo do sítio adoeceu devido ao frio uma vaca leiteira.","longa","sing","3","Masculino",29,"Sim","Pós-graduação"
"327",4447,"experiment","20","Na secretaria da escola chegou ontem à noite uma encomenda inesperada.","longa","sing","5","Masculino",29,"Sim","Pós-graduação"
"328",4459,"experiment","14","Na escola municipal aconteceu uma reunião pedagógica.","curta","sing","5","Masculino",29,"Sim","Pós-graduação"
"329",4471,"experiment","21","Na jardineira da janela floresceu umas rosas vermelhas.","curta","plur","5","Masculino",29,"Sim","Pós-graduação"
"330",4483,"experiment","16","Na pele da criança apareceu estranhamente uma mancha escura.","longa","sing","5","Masculino",29,"Sim","Pós-graduação"
"331",4495,"experiment","12","Na praça central murchou rapidamente uma flor delicada.","longa","sing","4","Masculino",29,"Sim","Pós-graduação"
"332",4507,"experiment","25","No hospital universitário existe uns equipamentos moderníssimos.","curta","plur","4","Masculino",29,"Sim","Pós-graduação"
"333",4519,"experiment","22","No escritório da firma desapareceu um documento sigiloso.","curta","sing","5","Masculino",29,"Sim","Pós-graduação"
"334",4531,"experiment","18","Na cozinha do restaurante sumiu um equipamento caro.","curta","sing","5","Masculino",29,"Sim","Pós-graduação"
"335",4543,"experiment","13","No quintal da casa caiu uns balões gigantes.","curta","plur","4","Masculino",29,"Sim","Pós-graduação"
"336",4555,"experiment","19","Do estacionamento do prédio saiu subitamente uns carros importados.","longa","plur",NA,"Masculino",29,"Sim","Pós-graduação"
"337",4588,"experiment","16","Na pele da criança apareceu umas manchas escuras.","curta","plur","5","Masculino",28,"Sim","Pós-graduação"
"338",4600,"experiment","18","Na cozinha do restaurante sumiu ontem à noite uns equipamentos caros.","longa","plur","4","Masculino",28,"Sim","Pós-graduação"
"339",4612,"experiment","13","No quintal da casa caiu abruptamente um balão gigante.","longa","sing","2","Masculino",28,"Sim","Pós-graduação"
"340",4624,"experiment","21","Na jardineira da janela floresceu durante a tarde uma rosa vermelha.","longa","sing","3","Masculino",28,"Sim","Pós-graduação"
"341",4636,"experiment","11","No solo adubado germinou uma semente desconhecida.","curta","sing","3","Masculino",28,"Sim","Pós-graduação"
"342",4648,"experiment","26","Na bomba d'água surgiu abruptamente uns barulhos esquisitos.","longa","plur","3","Masculino",28,"Sim","Pós-graduação"
"343",4660,"experiment","25","No hospital universitário existe no ambulatório um equipamento moderníssimo.","longa","sing","4","Masculino",28,"Sim","Pós-graduação"
"344",4672,"experiment","23","No vaso da varanda brotou uma planta desconhecida.","curta","sing","5","Masculino",28,"Sim","Pós-graduação"
"345",4684,"experiment","22","No escritório da firma desapareceu sem explicação uns documentos sigilosos.","longa","plur","3","Masculino",28,"Sim","Pós-graduação"
"346",4696,"experiment","19","Do estacionamento do prédio saiu um carro importado.","curta","sing","3","Masculino",28,"Sim","Pós-graduação"
"347",4708,"experiment","15","No canteiro do jardim desabrochou uma azaleia belíssima.","curta","sing","4","Masculino",28,"Sim","Pós-graduação"
"348",4720,"experiment","24","No estábulo do sítio adoeceu umas vacas leiteiras.","curta","plur","4","Masculino",28,"Sim","Pós-graduação"
"349",4732,"experiment","17","No estádio olímpico ocorreu ontem à tarde uma competição fantástica.","longa","sing","4","Masculino",28,"Sim","Pós-graduação"
"350",4744,"experiment","14","Na escola municipal aconteceu ontem de manhã umas reuniões pedagógicas.","longa","plur","3","Masculino",28,"Sim","Pós-graduação"
"351",4756,"experiment","20","Na secretaria da escola chegou umas encomendas inesperadas.","curta","plur","4","Masculino",28,"Sim","Pós-graduação"
"352",4768,"experiment","12","Na praça central murchou umas flores delicadas.","curta","plur","3","Masculino",28,"Sim","Pós-graduação"
"353",4805,"experiment","25","No hospital universitário existe no ambulatório um equipamento moderníssimo.","longa","sing","5","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"354",4817,"experiment","21","Na jardineira da janela floresceu durante a tarde uma rosa vermelha.","longa","sing","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"355",4829,"experiment","16","Na pele da criança apareceu umas manchas escuras.","curta","plur","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"356",4841,"experiment","23","No vaso da varanda brotou uma planta desconhecida.","curta","sing","4","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"357",4853,"experiment","11","No solo adubado germinou uma semente desconhecida.","curta","sing","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"358",4865,"experiment","26","Na bomba d'água surgiu abruptamente uns barulhos esquisitos.","longa","plur","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"359",4877,"experiment","20","Na secretaria da escola chegou umas encomendas inesperadas.","curta","plur",NA,"Feminino",33,"Sim","Ensino Superior completo ou cursando"
"360",4889,"experiment","18","Na cozinha do restaurante sumiu ontem à noite uns equipamentos caros.","longa","plur","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"361",4901,"experiment","14","Na escola municipal aconteceu ontem de manhã umas reuniões pedagógicas.","longa","plur","5","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"362",4913,"experiment","19","Do estacionamento do prédio saiu um carro importado.","curta","sing","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"363",4925,"experiment","12","Na praça central murchou umas flores delicadas.","curta","plur","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"364",4937,"experiment","15","No canteiro do jardim desabrochou uma azaleia belíssima.","curta","sing","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"365",4949,"experiment","24","No estábulo do sítio adoeceu umas vacas leiteiras.","curta","plur","1","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"366",4961,"experiment","22","No escritório da firma desapareceu sem explicação uns documentos sigilosos.","longa","plur","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"367",4973,"experiment","13","No quintal da casa caiu abruptamente um balão gigante.","longa","sing","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"368",4985,"experiment","17","No estádio olímpico ocorreu ontem à tarde uma competição fantástica.","longa","sing","3","Feminino",33,"Sim","Ensino Superior completo ou cursando"
"369",5022,"experiment","13","No quintal da casa caiu um balão gigante.","curta","sing","5","Feminino",52,"Sim","Pós-graduação"
"370",5034,"experiment","26","Na bomba d’água surgiu uns barulhos esquisitos.","curta","plur","1","Feminino",52,"Sim","Pós-graduação"
"371",5046,"experiment","23","No vaso da varanda brotou com muito vigor uma planta desconhecida.","longa","sing",NA,"Feminino",52,"Sim","Pós-graduação"
"372",5058,"experiment","16","Na pele da criança apareceu estranhamente umas manchas escuras.","longa","plur","5","Feminino",52,"Sim","Pós-graduação"
"373",5070,"experiment","14","Na escola municipal aconteceu umas reuniões pedagógicas.","curta","plur","1","Feminino",52,"Sim","Pós-graduação"
"374",5082,"experiment","21","Na jardineira da janela floresceu uma rosa vermelha.","curta","sing","1","Feminino",52,"Sim","Pós-graduação"
"375",5094,"experiment","12","Na praça central murchou rapidamente umas flores delicadas.","longa","plur","1","Feminino",52,"Sim","Pós-graduação"
"376",5106,"experiment","22","No escritório da firma desapareceu uns documentos sigilosos.","curta","plur","1","Feminino",52,"Sim","Pós-graduação"
"377",5118,"experiment","15","No canteiro do jardim desabrochou repentinamente uma azaleia belíssima.","longa","sing","1","Feminino",52,"Sim","Pós-graduação"
"378",5130,"experiment","19","Do estacionamento do prédio saiu subitamente um carro importado.","longa","sing","3","Feminino",52,"Sim","Pós-graduação"
"379",5142,"experiment","24","No estábulo do sítio adoeceu devido ao frio umas vacas leiteiras.","longa","plur","1","Feminino",52,"Sim","Pós-graduação"
"380",5154,"experiment","20","Na secretaria da escola chegou ontem à noite umas encomendas inesperadas.","longa","plur",NA,"Feminino",52,"Sim","Pós-graduação"
"381",5166,"experiment","11","No solo adubado germinou ontem à tarde uma semente desconhecida.","longa","sing","4","Feminino",52,"Sim","Pós-graduação"
"382",5178,"experiment","18","Na cozinha do restaurante sumiu uns equipamentos caros.","curta","plur","3","Feminino",52,"Sim","Pós-graduação"
"383",5190,"experiment","17","No estádio olímpico ocorreu uma competição fantástica.","curta","sing","5","Feminino",52,"Sim","Pós-graduação"
"384",5202,"experiment","25","No hospital universitário existe um equipamento moderníssimo.","curta","sing","5","Feminino",52,"Sim","Pós-graduação"
"385",5243,"experiment","21","Na jardineira da janela floresceu uma rosa vermelha.","curta","sing","5","Feminino",64,"Sim","Pós-graduação"
"386",5255,"experiment","14","Na escola municipal aconteceu umas reuniões pedagógicas.","curta","plur","1","Feminino",64,"Sim","Pós-graduação"
"387",5267,"experiment","25","No hospital universitário existe um equipamento moderníssimo.","curta","sing","1","Feminino",64,"Sim","Pós-graduação"
"388",5279,"experiment","26","Na bomba d’água surgiu uns barulhos esquisitos.","curta","plur","1","Feminino",64,"Sim","Pós-graduação"
"389",5291,"experiment","22","No escritório da firma desapareceu uns documentos sigilosos.","curta","plur","1","Feminino",64,"Sim","Pós-graduação"
